Printed_gathering,Handwriting_order,Date,Poem_title,TitleID,InkID,Setup,File_operation,XRF_spot,w(Si_K),w(P_K),w(S_K),w(Cl_K),w(Ar_K),w(K_K),w(Ca_K),w(Ti_K),w(Mn_K),w(Fe_K),w(Ni_K),w(Cu_K),w(Zn_K),w(Rh_L),Si_K,P_K,S_K,Cl_K,Ar_K,K_K,Ca_K,Ti_K,Mn_K,Fe_K,Ni_K,Cu_K,Zn_K,Rh_L,Si_K / Fe_K,P_K / Fe_K,S_K / Fe_K,Cl_K / Fe_K,K_K / Fe_K,Ca_K / Fe_K,Ti_K / Fe_K,Mn_K / Fe_K,Ni_K / Fe_K,Cu_K / Fe_K,Zn_K / Fe_K
C,1st,1674,The Catholique Ballad or An Invitation to Popery,14,6,ink - paper,79_s1 - 79_s2,79_s1,0.09029,0.18973,0.35579,-0.0053,-0.11245,0.43801,0.22933,0.00399,0.02238,0.73212,3.30E-04,0.02705,0.00364,-0.14576,86.928,691.158,2039.11,-6.969,-750.67,8103.98,5734.3,189.595,1166.138,41265.72,18.734,1638.956,205.11,-552.28,0.00211,0.01675,0.04941,-1.69E-04,0.19639,0.13896,0.00459,0.02826,4.54E-04,0.03972,0.00497
C,1st,1674,The Catholique Ballad or An Invitation to Popery,14,6,ink - paper,81_s1 - 81_s2,81_s1,-0.02263,0.07558,0.27536,-0.01373,-0.05838,0.00418,0.28565,-6.44E-04,0.02021,0.23713,3.32E-04,0.02184,0.01036,-0.03322,-49.963,289.881,1791.02,-143.31,-403.13,232.46,7021.58,7.427,1037.309,13323.3,19.9763,1335.556,623.173,-240.17,-0.00375,0.02176,0.13443,-0.01076,0.01745,0.52702,5.57E-04,0.07786,0.0015,0.10024,0.04677
C,1st,1674,The Catholique Ballad or An Invitation to Popery,14,6,ink - paper,82_s1 - 82_s2,82_s1,0.00997,0.08027,0.32421,-0.0272,-0.04346,0.1006,0.22186,-0.00247,0.00536,0.14966,-0.00122,0.00778,0.00228,0.00658,8.153,322.6117,2171.26,-228.634,-274.06,1808.35,5185.91,-63.853,281.63,8410.65,-77.2237,476.251,133.2,9.41,9.69E-04,0.03836,0.25816,-0.02718,0.21501,0.61659,-0.00759,0.03348,-0.00918,0.05662,0.01584
C,1st,1674,"Room for a Ballad, or A Ballad for Rome",15,6,ink section 2 - paper,83_s2 - 83_s3,83_s2,0.02393,0.09728,0.52742,-0.01418,0.12545,0.05711,0.33451,-2.10E-04,0.01527,0.15303,8.46E-04,0.01909,0.00967,0.13559,31.468,392.0022,3684.8,-196.015,1174.45,958.12,7884.09,15.781,786.389,8601.51,52.86759,1179.535,589.365,420.91,0.00366,0.04557,0.42839,-0.02279,0.11139,0.91659,0.00183,0.09142,0.00615,0.13713,0.06852
C,1st,1674,"Room for a Ballad, or A Ballad for Rome",15,6,ink - paper 83_s3,84_s1 - 83_s3,84_s1,0.02931,0.12392,0.57217,0.04322,0.09253,0.27888,0.2816,3.31E-04,0.02255,0.55688,7.38E-04,0.09656,0.00909,0.03457,24.291,466.4462,3846.4,313.28,1073.56,4969.29,6790.09,67.783,1181.719,31420.31,45.20859,5869.745,536.165,45.96,7.73E-04,0.01485,0.12242,0.00997,0.15816,0.21611,0.00216,0.03761,0.00144,0.18681,0.01706
C,1st,1674,"Room for a Ballad, or A Ballad for Rome",15,6,ink - paper,85_s1 - 85_s2,85_s1,-0.02272,0.06944,0.36709,-0.02252,-0.04199,0.09558,0.2002,0.00103,0.0153,0.37216,-4.60E-05,0.06398,0.00798,0.00553,-48.46,263.1959,2396.07,-194.705,-472.11,1762.48,5102.4,81.283,805.38,20924.69,-3.8432,3894.868,468.76,-92.17,-0.00232,0.01258,0.11451,-0.00931,0.08423,0.24385,0.00388,0.03849,-1.84E-04,0.18614,0.0224
C,1st,1674,"Room for a Ballad, or A Ballad for Rome",15,6,ink - paper 85_s2,86_s1 - 85_s2,86_s1,-0.00486,0.09467,0.30854,0.03122,-0.0351,0.06598,0.33223,3.35E-04,0.02178,0.40163,4.86E-04,0.07314,0.01162,-0.01159,-24.935,357.8529,1948.6,260.696,-305.14,1312.86,8427.8,55.127,1130.94,22519.89,28.699,4443.838,685.99,-36.56,-0.00111,0.01589,0.08653,0.01158,0.0583,0.37424,0.00245,0.05022,0.00127,0.19733,0.03046
C,1st,1674,"Room for a Ballad, or A Ballad for Rome",15,6,ink section 1 - paper,87_s1 - 87_s2,87_s1,-0.01847,0.08367,0.54978,-0.16493,-0.07352,0.17922,0.35265,-0.00183,0.00813,0.3138,1.03E-04,0.04983,0.00653,0.03255,-39.87,316.462,3822.99,-1520.393,-244.21,3291.26,8451.42,-25.285,430.75,17619.12,5.8603,3043.856,385.498,-106.51,-0.00226,0.01796,0.21698,-0.08629,0.1868,0.47967,-0.00144,0.02445,3.33E-04,0.17276,0.02188
C,1st,1675-80,On Rome’s Pardons by the E. of R.,16,6,ink section 2 - paper,87_s3 - 87_s2,87_s3,0.00521,0.07218,0.64866,-0.13565,-0.05598,0.1378,0.4943,-0.00142,0.01413,0.25998,-3.67E-04,0.03639,0.01137,0.06157,-3.034,278.976,4640.27,-1285.956,-130.52,2535.21,11808.42,-23.168,727.88,14557.02,-23.11719,2231.046,683.448,44.94,-2.08E-04,0.01916,0.31877,-0.08834,0.17416,0.81118,-0.00159,0.05,-0.00159,0.15326,0.04695
C,1st,1675-81,On Rome’s Pardons by the E. of R.,16,6,ink section 1 - paper 87_s2,88_s1 - 87_s2,88_s1,6.95E-04,0.07086,0.70599,-0.15303,-0.0666,0.17632,0.35316,0.00131,0.00794,0.18292,-2.44E-04,0.02207,0.00492,0.09904,-4.596,282.263,5069.83,-1445.493,-485.8,3082.9,8100.92,64.947,416.89,10284.02,-15.3521,1363.336,298.018,23.27,-4.47E-04,0.02745,0.49298,-0.14056,0.29978,0.78772,0.00632,0.04054,-0.00149,0.13257,0.02898
